system_name,component,mean_ms,pct_of_total
Mac M1,overhead,0.4012,36.68
Mac M1,attention,0.1252,22.9
Mac M1,lm_head,0.2056,18.8
Mac M1,mlp,0.0632,11.55
Mac M1,layernorm,0.0125,5.72
Mac M1,embedding,0.0238,4.35
WSL_Windows,overhead,0.7368,37.84
WSL_Windows,attention,0.188,19.31
WSL_Windows,lm_head,0.3693,18.97
WSL_Windows,mlp,0.1231,12.64
WSL_Windows,layernorm,0.0322,8.26
WSL_Windows,embedding,0.029,2.98
Colab_H100,attention,7.661,43.7
Colab_H100,embedding,3.0453,17.37
Colab_H100,mlp,2.9335,16.73
Colab_H100,overhead,4.2291,12.06
Colab_H100,lm_head,1.8777,5.36
Colab_H100,layernorm,0.3354,4.78
