system,model,backend,device,prompt_length,output_length,per_token_mean_ms,ttft_mean_ms,throughput_tok_s
Mac M1,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,mps,64,32,21.91642642907802,20.79157877777778,41.529068336698955
Mac M1,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,32,32,21.923687356643356,20.5835,42.69933166412339
Mac M1,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,64,32,21.593162340277775,24.635174799999998,42.965588747780984
Mac M1,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,128,32,22.99589085714286,23.28107325,38.42558634090978
Mac M1,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,256,32,24.65849755147059,30.9235916,34.12902634414915
Mac M1,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,512,32,23.09469732638889,22.673719,41.799498736975245
Mac M1,tiny-gpt2,hf,cpu,64,32,0.5043977588652482,1.5373332,1779.4922699646554
Mac M1,tiny-gpt2,hf,cpu,64,32,0.5061398424657534,1.4443747999999998,1795.3421809439965
Mac M1,tiny-gpt2,hf,cpu,64,32,0.5071790206896551,1.4139795,1789.1697478828683
WSL_Windows,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,64,32,27.273265820143884,27.770216999999995,35.045140018363995
WSL_Windows,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,64,32,27.358776372262774,29.6963465,33.34636912973588
WSL_Windows,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,32,32,27.538058779411767,28.616324,34.10666969196058
WSL_Windows,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,64,32,28.18592933333333,28.7297855,34.63542463822122
WSL_Windows,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,128,32,28.792751864661653,36.438096599999994,32.703370255172054
WSL_Windows,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,256,32,30.037973683453234,33.6931505,31.599178273062403
WSL_Windows,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,512,32,31.402582063380283,34.738500599999995,30.200766570569602
WSL_Windows,tiny-gpt2,hf,cpu,64,32,1.4239863888888888,3.5300868000000003,627.2886252168458
WSL_Windows,distilgpt2,hf,cpu,64,32,20.746026174825175,86.27371466666666,43.835913071731504
WSL_Windows,tiny-gpt2,hf,cpu,64,32,1.4138478571428572,3.6792184,630.5458521146554
WSL_Windows,tiny-gpt2,hf,cpu,64,32,1.3884926546762588,3.3253250000000003,639.6955642927319
Colab_H100,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cuda,128,128,9.976166502923975,10.647011,92.62652134365479
Colab_H100,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cuda,64,64,2.7423813682432434,4.1265962,357.47732282293566
Colab_H100,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cuda,128,64,2.8726564494382023,4.315734,333.91675390929595
Colab_H100,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cuda,256,64,2.921556536184211,4.615943,335.1367461810408
Colab_H100,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cuda,512,64,3.044191521311475,4.890327666666667,321.5062636808824
Colab_H100,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cuda,1024,64,2.8783865850340136,4.77701875,339.9801443630994
Colab_H100,tiny-gpt2,hf,cpu,64,32,0.7459761946308725,2.0779549999999998,1258.6707199890104
Colab_H100,distilgpt2,hf,cpu,64,32,6.114367677419355,49.543155,134.1483913938351
Colab_H100,tiny-gpt2,hf,cpu,64,32,0.7797322108843537,1.1820848000000002,1234.110330307324
Colab_H100,tiny-gpt2,hf,cpu,64,32,0.7854586301369864,1.5890178000000001,1188.6338820097985
Colab_H100,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,128,64,11.326455888888889,12.422767250000001,80.05185110912102
Colab_H100,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,128,64,10.199688356828194,10.725414500000001,85.4649674207229
Colab_H100,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,128,64,9.957113324324322,10.38469325,89.65303762134458
Colab_H100,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,256,64,10.271786326996196,11.8910825,74.0796049876406
Colab_H100,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,256,64,10.243576338461537,10.704314499999999,68.6157680757972
Colab_H100,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,256,64,10.464574616236163,11.1435225,72.90421267462378
Colab_H100,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,512,64,10.539500880308879,11.577197000000002,72.16439633899577
Colab_H100,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,512,64,10.429213509803922,11.2040166,72.48136685246607
Colab_H100,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,512,64,11.752183820895521,20.2538724,61.888080747066454
Colab_H100,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,1024,64,12.467761083333333,13.380560200000001,62.283983290099755
Colab_H100,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,1024,64,12.445922596226415,22.0556332,61.46151191176388
Colab_H100,Llama-3.2-1B-Instruct-Q4_K_M.gguf,llamacpp,cpu,1024,64,11.872642508771929,12.7946985,69.41799635303867
