prompt_length,regime,weight_frac,kv_frac,overhead_frac,predicted_ms,measured_ms
128,OVERHEAD-BOUND,0.0,0.10254054563780075,0.8974594543621993,6.27798807060017,9.976166502923975
64,OVERHEAD-BOUND,0.0,0.05404096799120702,0.9459590320087929,5.956113909466698,2.7423813682432434
128,OVERHEAD-BOUND,0.0,0.10254054563780075,0.8974594543621993,6.27798807060017,2.8726564494382023
256,OVERHEAD-BOUND,0.0,0.18600775462363212,0.8139922453763678,6.921736392867116,2.921556536184211
512,OVERHEAD-BOUND,0.0,0.31367038520361085,0.6863296147963892,8.209233037401006,3.044191521311475
1024,OVERHEAD-BOUND,0.0,0.4775480801525321,0.5224519198474679,10.784226326468788,2.8783865850340136
64,OVERHEAD-BOUND,0.0,0.05404096799120702,0.9459590320087929,5.956113909466698,0.7459761946308725
64,OVERHEAD-BOUND,0.0,0.05404096799120702,0.9459590320087929,5.956113909466698,6.114367677419355
64,OVERHEAD-BOUND,0.0,0.05404096799120702,0.9459590320087929,5.956113909466698,0.7797322108843537
64,OVERHEAD-BOUND,0.0,0.05404096799120702,0.9459590320087929,5.956113909466698,0.7854586301369864
128,OVERHEAD-BOUND,0.0,0.10254054563780075,0.8974594543621993,6.27798807060017,11.326455888888889
128,OVERHEAD-BOUND,0.0,0.10254054563780075,0.8974594543621993,6.27798807060017,10.199688356828194
128,OVERHEAD-BOUND,0.0,0.10254054563780075,0.8974594543621993,6.27798807060017,9.957113324324322
256,OVERHEAD-BOUND,0.0,0.18600775462363212,0.8139922453763678,6.921736392867116,10.271786326996196
256,OVERHEAD-BOUND,0.0,0.18600775462363212,0.8139922453763678,6.921736392867116,10.243576338461537
256,OVERHEAD-BOUND,0.0,0.18600775462363212,0.8139922453763678,6.921736392867116,10.464574616236163
512,OVERHEAD-BOUND,0.0,0.31367038520361085,0.6863296147963892,8.209233037401006,10.539500880308879
512,OVERHEAD-BOUND,0.0,0.31367038520361085,0.6863296147963892,8.209233037401006,10.429213509803922
512,OVERHEAD-BOUND,0.0,0.31367038520361085,0.6863296147963892,8.209233037401006,11.752183820895521
1024,OVERHEAD-BOUND,0.0,0.4775480801525321,0.5224519198474679,10.784226326468788,12.467761083333333
1024,OVERHEAD-BOUND,0.0,0.4775480801525321,0.5224519198474679,10.784226326468788,12.445922596226415
1024,OVERHEAD-BOUND,0.0,0.4775480801525321,0.5224519198474679,10.784226326468788,11.872642508771929
