name,cpu_time_total_us,cuda_time_total_us,calls
"decode_step_0",3589.846,0,1
"decode_step_1",1289.2719999999995,0,1
"decode_step_6",1200.0259999999998,0,1
"decode_step_2",1128.5479999999998,0,1
"decode_step_7",1091.036,0,1
"decode_step_5",1085.8590000000004,0,1
"decode_step_3",1052.2790000000005,0,1
"decode_step_4",1032.2509999999993,0,1
"aten::argmax",795.8809999999985,0,8
"aten::scaled_dot_product_attention",786.3429999999969,0,16
"aten::_scaled_dot_product_flash_attention_for_cpu",725.7490000000018,0,16
"aten::layer_norm",685.7240000000024,0,40
"aten::addmm",683.6660000000011,0,64
"aten::embedding",476.45000000000493,0,16
"aten::native_layer_norm",384.26800000000435,0,40
"aten::index_select",382.9399999999973,0,16
"aten::mul",381.24800000000005,0,64
"aten::linear",325.07900000000063,0,8
"aten::transpose",324.93600000000765,0,168
"aten::to",290.19500000000994,0,88
"aten::matmul",264.6120000000019,0,8
"aten::_to_copy",228.86900000000378,0,64
"aten::split",204.80999999999904,0,16
"aten::mm",202.2609999999977,0,8
"aten::add",196.77900000000318,0,72
"aten::view",193.06099999999526,0,328
"aten::as_strided",183.55799999999675,0,344
"aten::expand",168.39600000000655,0,64
"aten::empty",164.89599999998768,0,192
"aten::narrow",160.36899999999855,0,48
"aten::copy_",149.79500000000598,0,128
"aten::arange",130.78700000000197,0,16
"aten::select",128.88800000000163,0,40
"aten::slice",97.11400000000299,0,48
"aten::cat",91.7719999999988,0,32
"aten::pow",77.83300000000236,0,16
"aten::empty_strided",73.41199999999958,0,80
"aten::reshape",70.49200000000064,0,40
"aten::unsqueeze",57.65799999999672,0,16
"aten::empty_like",55.4529999999977,0,16
"aten::tanh",44.66300000000092,0,16
"aten::t",36.95000000000164,0,8
"aten::resolve_conj",24.717999999999165,0,208
"aten::dropout",15.114999999996826,0,40
"aten::alias",10.548999999997704,0,8
"aten::_unsafe_view",7.9449999999987995,0,8
"aten::result_type",6.630000000003292,0,16
"aten::resize_",5.873999999998773,0,8
