name,cpu_time_total_us,cuda_time_total_us,calls
"decode_step_0",2972.642,0,1
"decode_step_5",2628.7270000000008,0,1
"decode_step_1",1453.4470000000001,0,1
"decode_step_6",1297.905999999999,0,1
"decode_step_2",1292.8220000000001,0,1
"aten::scaled_dot_product_attention",1223.324000000001,0,16
"decode_step_3",1214.656,0,1
"decode_step_4",1177.8240000000005,0,1
"decode_step_7",1147.241,0,1
"aten::argmax",1082.365999999999,0,8
"aten::_scaled_dot_product_flash_attention_for_cpu",1023.1619999999998,0,16
"aten::linear",726.5349999999985,0,8
"aten::matmul",679.4549999999981,0,8
"aten::mm",627.3689999999997,0,8
"aten::addmm",549.0739999999978,0,64
"aten::layer_norm",426.7099999999982,0,40
"aten::native_layer_norm",338.50100000000066,0,40
"aten::mul",319.4540000000011,0,64
"aten::transpose",307.2599999999993,0,168
"aten::embedding",282.5359999999987,0,16
"aten::to",258.3709999999951,0,88
"aten::index_select",212.91299999999728,0,16
"aten::_to_copy",205.8729999999946,0,64
"aten::view",193.2970000000023,0,328
"aten::add",177.00100000000657,0,72
"aten::empty",164.58300000001145,0,192
"aten::copy_",162.41100000000415,0,128
"aten::as_strided",153.49999999999386,0,344
"aten::split",136.7909999999997,0,16
"aten::expand",132.32900000000654,0,64
"aten::narrow",107.24900000000343,0,48
"aten::select",90.49800000000323,0,40
"aten::arange",81.45600000000013,0,16
"aten::cat",76.78999999999996,0,32
"aten::unsqueeze",65.54299999999716,0,16
"aten::slice",60.66700000000037,0,48
"aten::reshape",57.45399999999972,0,40
"aten::pow",50.460000000000036,0,16
"aten::empty_strided",47.91699999999719,0,80
"aten::empty_like",40.666000000001986,0,16
"aten::t",28.79200000000037,0,8
"aten::tanh",20.79000000000451,0,16
"aten::resolve_conj",19.206999999983964,0,208
"aten::dropout",9.123000000001412,0,40
"aten::alias",6.916000000001532,0,8
"aten::_unsafe_view",5.998000000000047,0,8
"aten::resize_",5.082999999999174,0,8
"aten::result_type",3.208999999999378,0,16
