name,cpu_time_total_us,cuda_time_total_us,calls
"decode_step_0",10793.688,0,1
"decode_step_1",2110.5699999999997,0,1
"decode_step_6",2014.6779999999999,0,1
"decode_step_2",1766.2530000000006,0,1
"aten::embedding",1666.014999999999,0,16
"decode_step_5",1647.0429999999978,0,1
"decode_step_4",1545.0699999999997,0,1
"aten::index_select",1516.3770000000068,0,16
"decode_step_3",1471.8910000000014,0,1
"decode_step_7",1470.2880000000005,0,1
"aten::addmm",1278.5569999999952,0,64
"aten::linear",1140.9219999999987,0,8
"aten::matmul",1066.4180000000015,0,8
"aten::mm",991.7659999999978,0,8
"aten::layer_norm",944.2499999999854,0,40
"aten::scaled_dot_product_attention",771.7299999999977,0,16
"aten::argmax",724.6369999999933,0,8
"aten::_scaled_dot_product_flash_attention_for_cpu",704.9290000000037,0,16
"aten::native_layer_norm",523.7190000000055,0,40
"aten::mul",523.5780000000204,0,64
"aten::transpose",511.87299999998686,0,168
"aten::to",384.48799999998937,0,88
"aten::_to_copy",304.13599999998314,0,64
"aten::add",298.8000000000038,0,72
"aten::split",285.03499999999167,0,16
"aten::view",273.44799999999714,0,328
"aten::empty",242.8899999999967,0,192
"aten::as_strided",242.7989999999752,0,344
"aten::copy_",240.80500000001666,0,128
"aten::expand",225.53600000000097,0,64
"aten::arange",222.40299999999934,0,16
"aten::narrow",204.6549999999943,0,48
"aten::select",194.13500000000568,0,40
"aten::cat",145.5039999999981,0,32
"aten::slice",123.53500000000804,0,48
"aten::empty_strided",108.29200000001583,0,80
"aten::reshape",104.49100000000726,0,40
"aten::pow",88.85699999999542,0,16
"aten::unsqueeze",82.99200000000201,0,16
"aten::empty_like",81.80700000000343,0,16
"aten::tanh",59.14100000000053,0,16
"aten::t",49.10099999999693,0,8
"aten::resolve_conj",28.617999999984022,0,208
"aten::dropout",23.985000000008768,0,40
"aten::resize_",11.135000000001128,0,8
"aten::alias",9.13499999999658,0,8
"aten::_unsafe_view",8.585999999993874,0,8
"aten::result_type",6.059999999994034,0,16
